id,followers_count,friends_count,listedcount,favourites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,name,bot,In_reply,retweet_count,fav_count,total_usrmention,days_std,hours_std,modified_hour,acc_age,tweets_per_day,in_reply_data,ff_ratio,sn_length,desc_length,diversity,name_length,name_words,null_url,screennamebot,namebot,descbot,nameratio,avg_In_reply,avg_retweet_count,avg_fav_count,avg_total_usrmention
3056108908,70,4,21,1,0,5649,1,0,0,Knock Knock Bot,1,0.0,0.0,3.0,0.0,1.0,0.5,15,323,17.4860681115,0,23.0,9,51,0.777777777778,15,3,0,1,1,1,4,0.0,0.0,0.051724137931,0.0
184910040,28031143,159,33029,1,1,289,0,0,0,Adele,0,9.0,100.0,97.0,30.0,1.0,0.791666666667,19,2397,0.120150187735,0,177412.291139,5,23,0.8,5,1,1,0,0,0,5,0.155172413793,1.72413793103,1.6724137931,0.51724137931
18222378,9060859,18,34241,13,1,13255,0,0,0,50cent,0,2.0,100.0,87.0,67.0,1.0,0.916666666667,19,3055,4.33846153846,0,532991.647059,6,58,1.0,6,1,1,0,0,0,6,0.0344827586207,1.72413793103,1.5,1.15517241379
3044443379,184,3,50,2,0,13454,0,0,0,UnconventionalDesire,1,0.0,2.0,10.0,0.0,1.0,0.5,5,808,16.6497524752,0,91.5,11,30,0.636363636364,20,1,0,0,0,1,20,0.0,0.0344827586207,0.172413793103,0.0
100803521,316,778,19,17090,0,5962,0,0,1,He-3,0,0.0,72.0,6.0,83.0,1.0,0.791666666667,16,2683,2.22176667909,0,0.405405405405,12,44,0.833333333333,4,1,0,0,0,0,4,0.0,1.24137931034,0.103448275862,1.43103448276
8.25E+17,125,869,1,6,0,29,1,0,1,GOOGLE PAGE 1,0,1.0,5.0,16.0,2.0,1.0,0.583333333333,21,91,0.307692307692,0,0.142857142857,12,126,0.583333333333,13,3,0,0,0,0,3,0.0172413793103,0.0862068965517,0.275862068966,0.0344827586207
528047298,713,1791,7,1,0,11061,0,0,0,Estagiare SP,0,0.0,1.0,1.0,0.0,1.0,0.791666666667,2,563,19.6447602131,0,0.397765363128,11,69,0.909090909091,12,2,1,0,0,0,5,0.0,0.0172413793103,0.0172413793103,0.0
2165326447,347,2,54,1,0,193894,1,0,0,the way bot,1,0.0,3.0,7.0,0.0,0.714285714286,0.916666666667,19,1284,151.007009346,0,346.0,9,128,0.888888888889,11,3,1,1,1,0,3,0.0,0.051724137931,0.120689655172,0.0
18519661,292343,4836,3086,10011,1,37561,0,0,0,Tom Green,0,2.0,96.0,81.0,63.0,1.0,0.791666666667,0,3047,12.3268788973,0,60.4637021717,12,65,0.833333333333,9,2,1,0,0,0,4,0.0344827586207,1.65517241379,1.39655172414,1.08620689655
3957192304,117,3,17,2,0,1035,0,0,0,buoys,1,0.0,2.0,2.0,0.0,1.0,0.625,15,570,1.81403508772,0,58.0,7,77,1.0,5,1,0,0,0,1,5,0.0,0.0344827586207,0.0344827586207,0.0
2870071360,75,2,119,1,0,4417,1,0,0,Bot Summit Talks,1,0.0,3.0,6.0,92.0,1.0,1.0,3,638,6.92163009404,0,74.0,14,106,0.714285714286,16,3,1,1,1,1,4,0.0,0.051724137931,0.103448275862,1.58620689655
36139712,547246,2932,6081,3035,1,3438,0,0,0,Quincy Jones,0,0.0,100.0,31.0,173.0,1.0,0.791666666667,18,2929,1.17343803346,0,186.709314227,12,96,0.916666666667,12,2,1,0,0,0,5,0.0,1.72413793103,0.534482758621,2.98275862069
32968623,1537,337,111,515,0,1348,0,0,1,Steph Walden,0,7.0,34.0,45.0,64.0,1.0,0.791666666667,18,2918,0.461617546265,0,4.57142857143,14,153,0.928571428571,12,2,1,0,0,0,5,0.120689655172,0.586206896552,0.775862068966,1.10344827586
8.41E+17,13,76,2,2,0,27,1,0,0,@zguo0115_USyd,1,1.0,4.0,9.0,3.0,0.571428571429,0.75,1,54,0.481481481481,0,0.16,13,3,0.923076923077,14,1,0,0,0,0,14,0.0172413793103,0.0689655172414,0.155172413793,0.051724137931
128295889,2839,699,160,3522,0,4599,0,0,1,Chris Lilley,0,50.0,44.0,42.0,122.0,1.0,0.875,18,2592,1.77391975309,0,4.0659025788,8,116,0.625,12,2,1,0,0,0,5,0.862068965517,0.758620689655,0.724137931034,2.10344827586
3162970766,6,8,2,17,0,19,1,1,0,Metabolism Preprints,1,0.0,10.0,0.0,15.0,0.714285714286,0.583333333333,20,316,0.0569620253165,0,0.714285714286,15,3,0.733333333333,20,2,0,0,0,0,9,0.0,0.172413793103,0.0,0.258620689655
108577950,255985,336,487,3291,1,10721,0,0,0,Devdutt Pattanaik,0,18.0,85.0,34.0,151.0,1.0,0.791666666667,11,2657,4.0346255175,0,764.131343284,11,124,0.727272727273,17,2,1,0,0,0,8,0.310344827586,1.46551724138,0.586206896552,2.60344827586
113789752,2658,676,109,15984,1,5163,0,0,1,Rebecca Hiscott,0,64.0,33.0,57.0,119.0,1.0,0.75,2,2637,1.95752749336,1,3.9362962963,14,77,0.714285714286,15,2,1,0,0,0,7,1.10344827586,0.568965517241,0.98275862069,2.05172413793
1533777176,6782,3044,169,84,0,79770,0,0,0,Lotte McNally,1,0.0,96.0,2.0,95.0,0.714285714286,1.0,12,1187,67.202190396,0,2.22839303319,7,97,0.857142857143,13,2,0,1,0,1,6,0.0,1.65517241379,0.0344827586207,1.63793103448
2365948482,589,2,46,1,0,7516,1,0,0,CompBiolPapers,1,0.0,11.0,17.0,0.0,1.0,0.583333333333,18,1163,6.46173688736,0,588.0,14,26,0.857142857143,14,1,0,0,0,0,14,0.0,0.189655172414,0.293103448276,0.0
2646440287,11,3,8,1,0,260,0,0,0,quantified inky,1,0.0,0.0,5.0,0.0,1.0,0.916666666667,22,243,1.0658436214,0,5.0,14,17,0.785714285714,15,2,0,0,0,0,7,0.0,0.0,0.0862068965517,0.0
4599110415,109,3,16,10,0,620,0,0,1,_EMO_JI,1,100.0,5.0,9.0,100.0,1.0,1.0,10,496,1.24798387097,1,54.0,7,60,0.857142857143,7,1,0,0,0,0,7,1.72413793103,0.0862068965517,0.155172413793,1.72413793103
2789424948,88,2,32,1,0,10915,1,0,0,Literature Bot,1,0.0,1.0,2.0,0.0,0.857142857143,0.75,9,975,11.1938461538,0,87.0,10,3,0.9,14,2,0,0,1,0,6,0.0,0.0172413793103,0.0344827586207,0.0
3183805537,719,850,16,634,0,416,1,0,1,Kenny Cucchia,0,30.0,32.0,24.0,94.0,1.0,0.958333333333,5,729,0.56927297668,1,0.845700824499,8,131,0.875,13,2,1,0,0,0,6,0.51724137931,0.551724137931,0.413793103448,1.62068965517
